year	category	"n"
1950	Alabama	2
1950	Alaska	0
1950	Arkansas	13
1950	Arizona	0
1950	California	0
1950	Colorado	3
1950	Connecticut	2
1950	D.C.	0
1950	Delaware	0
1950	Florida	6
1950	Georgia	4
1950	Hawaii	0
1950	Iowa	4
1950	Idaho	0
1950	Illinois	11
1950	Indiana	3
1950	Kansas	33
1950	Kentucky	2
1950	Louisiana	28
1950	Massachusetts	0
1950	Maryland	1
1950	Maine	0
1950	Michigan	0
1950	Minnesota	1
1950	Missouri	6
1950	Mississippi	16
1950	Montana	0
1950	North Carolina	9
1950	North Dakota	2
1950	Nebraska	6
1950	New Hampshire	0
1950	New Jersey	0
1950	New Mexico	2
1950	Nevada	0
1950	New York	0
1950	Ohio	3
1950	Oklahoma	25
1950	Oregon	0
1950	Pennsylvania	6
1950	Puerto Rico	0
1950	Rhode Island	0
1950	South Carolina	1
1950	South Dakota	1
1950	Tennessee	3
1950	Texas	20
1950	Utah	0
1950	Virginia	0
1950	Vermont	0
1950	Washington	0
1950	Wisconsin	6
1950	West Virginia	1
1950	Wyoming	3
1951	Alabama	5
1951	Alaska	0
1951	Arkansas	3
1951	Arizona	0
1951	California	1
1951	Colorado	8
1951	Connecticut	3
1951	D.C.	0
1951	Delaware	0
1951	Florida	9
1951	Georgia	3
1951	Hawaii	0
1951	Iowa	5
1951	Idaho	0
1951	Illinois	5
1951	Indiana	5
1951	Kansas	77
1951	Kentucky	2
1951	Louisiana	10
1951	Massachusetts	2
1951	Maryland	0
1951	Maine	0
1951	Michigan	8
1951	Minnesota	4
1951	Missouri	6
1951	Mississippi	9
1951	Montana	0
1951	North Carolina	4
1951	North Dakota	2
1951	Nebraska	9
1951	New Hampshire	1
1951	New Jersey	1
1951	New Mexico	2
1951	Nevada	0
1951	New York	0
1951	Ohio	3
1951	Oklahoma	45
1951	Oregon	1
1951	Pennsylvania	4
1951	Puerto Rico	0
1951	Rhode Island	0
1951	South Carolina	1
1951	South Dakota	2
1951	Tennessee	1
1951	Texas	15
1951	Utah	0
1951	Virginia	5
1951	Vermont	0
1951	Washington	0
1951	Wisconsin	7
1951	West Virginia	1
1951	Wyoming	0
1952	Alabama	13
1952	Alaska	0
1952	Arkansas	29
1952	Arizona	1
1952	California	1
1952	Colorado	3
1952	Connecticut	0
1952	D.C.	0
1952	Delaware	0
1952	Florida	10
1952	Georgia	13
1952	Hawaii	0
1952	Iowa	6
1952	Idaho	0
1952	Illinois	4
1952	Indiana	2
1952	Kansas	21
1952	Kentucky	3
1952	Louisiana	11
1952	Massachusetts	0
1952	Maryland	4
1952	Maine	0
1952	Michigan	0
1952	Minnesota	11
1952	Missouri	11
1952	Mississippi	7
1952	Montana	2
1952	North Carolina	7
1952	North Dakota	11
1952	Nebraska	11
1952	New Hampshire	0
1952	New Jersey	4
1952	New Mexico	0
1952	Nevada	0
1952	New York	1
1952	Ohio	2
