state,num,FIPS
Alabama,0,1
Alaska,0,2
Arizona,0,4
Arkansas,0,5
California,1,6
Colorado,1,8
Connecticut,1,9
Delaware,1,10
Florida,5,12
Georgia,0,13
Hawaii,0,15
Idaho,0,16
Illinois,2,17
Indiana,2,18
Iowa,1,19
Kansas,1,20
Kentucky,1,21
Louisiana,0,22
Maine,0,23
Maryland,1,24
Massachusetts,3,25
Michigan,0,26
Minnesota,0,27
Mississippi,1,28
Missouri,9,29
Montana,0,30
Nebraska,0,31
Nevada,0,32
New Hampshire,0,33
New Jersey,3,34
New Mexico,0,35
New York,8,36
North Carolina,0,37
North Dakota,0,38
Ohio,1,39
Oklahoma,1,40
Oregon,0,41
Pennsylvania,3,42
Rhode Island,0,44
South Carolina,0,45
South Dakota,0,46
Tennessee,2,47
Texas,2,48
Utah,0,49
Vermont,0,50
Virginia,1,51
Washington,0,53
West Virginia,1,54
Wisconsin,0,55
Wyoming,0,56
