team,category,season,threes
Atlanta Hawks,1980,1980,0.9
Boston Celtics,1980,1980,5.1
Chicago Bulls,1980,1980,3.3
Cleveland Cavaliers,1980,1980,2.2
Denver Nuggets,1980,1980,3.1
Detroit Pistons,1980,1980,2.6
Golden State Warriors,1980,1980,1.4
Houston Rockets,1980,1980,4.6
Indiana Pacers,1980,1980,3.8
Kansas City Kings,1980,1980,1.3
Los Angeles Lakers,1980,1980,1.2
Milwaukee Bucks,1980,1980,1.8
New Jersey Nets,1980,1980,3.6
New York Knicks,1980,1980,2.3
Philadelphia 76ers,1980,1980,1.5
Phoenix Suns,1980,1980,11.3
Portland Trail Blazers,1980,1980,19.9
San Antonio Spurs,1980,1980,12
San Diego Clippers,1980,1980,11.5
Seattle SuperSonics,1980,1980,8
Toronto Raptors,1980,1980,16.5
Utah Jazz,1980,1980,17.6
Vancouver Grizzlies,1980,1980,13.5
Washington Wizards,1980,1980,11.7
Atlanta Hawks,1981,1981,17.2
Boston Celtics,1981,1981,14.1
Charlotte Hornets,1981,1981,12.9
Chicago Bulls,1981,1981,15.5
Dallas Mavericks,1981,1981,16.8
Denver Nuggets,1981,1981,18
Detroit Pistons,1981,1981,10.9
Golden State Warriors,1981,1981,13.2
Indiana Pacers,1981,1981,13.6
Los Angeles Clippers,1981,1981,16.4
Los Angeles Lakers,1981,1981,9.7
Memphis Grizzlies,1981,1981,12.8
Miami Heat,1981,1981,12.8
Milwaukee Bucks,1981,1981,16.5
Minnesota Timberwolves,1981,1981,13.3
New Orleans Hornets,1981,1981,14.2
New York Knicks,1981,1981,14.2
Oklahoma City Thunder,1981,1981,10.3
Orlando Magic,1981,1981,11.5
Philadelphia 76ers,1981,1981,10.3
Phoenix Suns,1981,1981,1.9
Portland Trail Blazers,1981,1981,1.8
Sacramento Kings,1981,1981,1
San Antonio Spurs,1981,1981,4.9
Seattle SuperSonics,1981,1981,1.4
Utah Jazz,1981,1981,1.9
Washington Wizards,1981,1981,2.9
Atlanta Hawks,1982,1982,1.5
Boston Celtics,1982,1982,2.2
Chicago Bulls,1982,1982,2.6
Cleveland Cavaliers,1982,1982,1.6
Dallas Mavericks,1982,1982,2.3
Denver Nuggets,1982,1982,1.8
Detroit Pistons,1982,1982,2.6
Golden State Warriors,1982,1982,3.9
Houston Rockets,1982,1982,2.1
Indiana Pacers,1982,1982,3.8
Los Angeles Clippers,1982,1982,1.5
Los Angeles Lakers,1982,1982,1.1
Milwaukee Bucks,1982,1982,2
New Jersey Nets,1982,1982,1.7
New York Knicks,1982,1982,2.6
Philadelphia 76ers,1982,1982,1.7
Phoenix Suns,1982,1982,2.1
Portland Trail Blazers,1982,1982,1.7
Sacramento Kings,1982,1982,3
San Antonio Spurs,1982,1982,4.1
Seattle SuperSonics,1982,1982,1.8
Utah Jazz,1982,1982,1.1
Washington Wizards,1982,1982,2.8
Atlanta Hawks,1983,1983,2.2
Boston Celtics,1983,1983,2.2
Chicago Bulls,1983,1983,2.5
Cleveland Cavaliers,1983,1983,1.4
Dallas Mavericks,1983,1983,2.2
Denver Nuggets,1983,1983,1.5
Detroit Pistons,1983,1983,3.3
Golden State Warriors,1983,1983,1.8
Houston Rockets,1983,1983,3.3
Indiana Pacers,1983,1983,2.8
Los Angeles Clippers,1983,1983,2.6
Los Angeles Lakers,1983,1983,1.1
Milwaukee Bucks,1983,1983,2
New Jersey Nets,1983,1983,1.8
New York Knicks,1983,1983,1.6
Philadelphia 76ers,1983,1983,1.3
Phoenix Suns,1983,1983,1.9
Portland Trail Blazers,1983,1983,1.8
Sacramento Kings,1983,1983,3.7
San Antonio Spurs,1983,1983,3.2
Seattle SuperSonics,1983,1983,1.6
Utah Jazz,1983,1983,2.2
Washington Wizards,1983,1983,2.8
Atlanta Hawks,1984,1984,1.2
Boston Celtics,1984,1984,2.7
Chicago Bulls,1984,1984,1.4
Cleveland Cavaliers,1984,1984,2
Dallas Mavericks,1984,1984,2.2
Denver Nuggets,1984,1984,3.1
Detroit Pistons,1984,1984,1.7
Golden State Warriors,1984,1984,2.7
Houston Rockets,1984,1984,1.8
Indiana Pacers,1984,1984,2.5
Los Angeles Clippers,1984,1984,2.3
Los Angeles Lakers,1984,1984,2.7
Milwaukee Bucks,1984,1984,2.8
New Jersey Nets,1984,1984,2.8
New York Knicks,1984,1984,2
Philadelphia 76ers,1984,1984,1.3
Phoenix Suns,1984,1984,3.5
Portland Trail Blazers,1984,1984,1.5
Sacramento Kings,1984,1984,3.2
San Antonio Spurs,1984,1984,1.5
Seattle SuperSonics,1984,1984,1.7
Utah Jazz,1984,1984,3.8
Washington Wizards,1984,1984,3.4
Atlanta Hawks,1985,1985,2.8
Boston Celtics,1985,1985,3.7
Chicago Bulls,1985,1985,1.9
Cleveland Cavaliers,1985,1985,4
Dallas Mavericks,1985,1985,5.4
Denver Nuggets,1985,1985,2.8
Detroit Pistons,1985,1985,2.4
Golden State Warriors,1985,1985,4.8
Houston Rockets,1985,1985,2.2
Indiana Pacers,1985,1985,1.8
Los Angeles Clippers,1985,1985,2.9
Los Angeles Lakers,1985,1985,2.2
Milwaukee Bucks,1985,1985,3.6
New Jersey Nets,1985,1985,3.5
New York Knicks,1985,1985,2.7
Philadelphia 76ers,1985,1985,2.4
Phoenix Suns,1985,1985,2.7
Portland Trail Blazers,1985,1985,3.7
Sacramento Kings,1985,1985,2.4
San Antonio Spurs,1985,1985,2.4
Seattle SuperSonics,1985,1985,2.2
Utah Jazz,1985,1985,3.7
Washington Wizards,1985,1985,4.8
Atlanta Hawks,1986,1986,2
Boston Celtics,1986,1986,4.7
Chicago Bulls,1986,1986,3.8
Cleveland Cavaliers,1986,1986,4.7
Dallas Mavericks,1986,1986,5.4
Denver Nuggets,1986,1986,3.7
Detroit Pistons,1986,1986,2.2
Golden State Warriors,1986,1986,3.3
Houston Rockets,1986,1986,3.7
Indiana Pacers,1986,1986,1.7
Los Angeles Clippers,1986,1986,2.7
Los Angeles Lakers,1986,1986,4.9
Milwaukee Bucks,1986,1986,4.6
New Jersey Nets,1986,1986,2.6
New York Knicks,1986,1986,2.9
Philadelphia 76ers,1986,1986,2.7
Phoenix Suns,1986,1986,2.2
Portland Trail Blazers,1986,1986,3.3
Sacramento Kings,1986,1986,1.6
San Antonio Spurs,1986,1986,2.3
Seattle SuperSonics,1986,1986,3.6
Utah Jazz,1986,1986,2
Washington Wizards,1986,1986,4.9
Atlanta Hawks,1987,1987,5.1
Boston Celtics,1987,1987,6.8
Chicago Bulls,1987,1987,3.6
Cleveland Cavaliers,1987,1987,4.1
Dallas Mavericks,1987,1987,7.9
Denver Nuggets,1987,1987,4.7
Detroit Pistons,1987,1987,2
Golden State Warriors,1987,1987,4.4
Houston Rockets,1987,1987,3.9
Indiana Pacers,1987,1987,3.8
Los Angeles Clippers,1987,1987,4.2
Los Angeles Lakers,1987,1987,5.4
Milwaukee Bucks,1987,1987,6.9
New Jersey Nets,1987,1987,5.4
New York Knicks,1987,1987,4.5
Philadelphia 76ers,1987,1987,4.1
Phoenix Suns,1987,1987,3
Portland Trail Blazers,1987,1987,4.1
Sacramento Kings,1987,1987,3.7
San Antonio Spurs,1987,1987,4.9
Seattle SuperSonics,1987,1987,6.9
Utah Jazz,1987,1987,5.4
