subject,offRTG,count,date
Atlanta Hawks,98.2,93.49,2004
Atlanta Hawks,97.9,93.8,2005
Atlanta Hawks,103.8,92.99,2006
Atlanta Hawks,100.1,92.5,2007
Atlanta Hawks,104,93.62,2008
Atlanta Hawks,106.6,92.04,2009
Atlanta Hawks,108.9,92.5,2010
Atlanta Hawks,103.2,91.56,2011
Atlanta Hawks,102.4,92.51,2012
Atlanta Hawks,102.7,94.72,2013
Atlanta Hawks,103.4,96.87,2014
Atlanta Hawks,106.2,96.25,2015
Atlanta Hawks,103,99.4,2016
Atlanta Hawks,102.3,99.83,2017
Atlanta Hawks,103.9,99.6,2018
Boston Celtics,99.9,95.79,2004
Boston Celtics,104.8,95.92,2005
Boston Celtics,102.5,94.66,2006
Boston Celtics,100.2,94.46,2007
Boston Celtics,107.6,93.3,2008
Boston Celtics,108.1,92.75,2009
Boston Celtics,105.4,93.84,2010
Boston Celtics,104,92.51,2011
Boston Celtics,98.9,92.65,2012
Boston Celtics,101.1,93.98,2013
Boston Celtics,99.7,95.88,2014
Boston Celtics,101.7,98.4,2015
Boston Celtics,103.9,101.15,2016
Boston Celtics,108.6,99.32,2017
Boston Celtics,104.4,98.26,2018
Brooklyn Nets,98.2,91.9,2004
Brooklyn Nets,98.3,91.73,2005
Brooklyn Nets,101.5,92.03,2006
Brooklyn Nets,103.7,93.61,2007
Brooklyn Nets,101.4,93.87,2008
Brooklyn Nets,105.4,92.3,2009
Brooklyn Nets,98.1,93.62,2010
Brooklyn Nets,100.2,92.39,2011
Brooklyn Nets,99.7,92.71,2012
Brooklyn Nets,105,91.23,2013
Brooklyn Nets,104.4,93.68,2014
Brooklyn Nets,101.9,94.97,2015
Brooklyn Nets,100.9,97.37,2016
Brooklyn Nets,101.9,103.58,2017
Brooklyn Nets,103.1,101.02,2018
Charlotte Hornets,98,95,2005
Charlotte Hornets,99.5,95.98,2006
Charlotte Hornets,100.7,94.55,2007
Charlotte Hornets,102.1,94.07,2008
Charlotte Hornets,101.6,90.82,2009
Charlotte Hornets,101.5,92.8,2010
Charlotte Hornets,100.8,92.09,2011
Charlotte Hornets,92.3,93.59,2012
Charlotte Hornets,98.3,94.03,2013
Charlotte Hornets,101.2,94.73,2014
Charlotte Hornets,97.6,95.33,2015
Charlotte Hornets,105.1,97.8,2016
Charlotte Hornets,106.4,97.85,2017
Charlotte Hornets,104.9,100.38,2018
Chicago Bulls,93.9,94.82,2004
Chicago Bulls,98.5,95.11,2005
Chicago Bulls,101.3,95.68,2006
Chicago Bulls,102.5,96.04,2007
Chicago Bulls,101,95.73,2008
Chicago Bulls,105.1,95.79,2009
Chicago Bulls,100.8,95.54,2010
Chicago Bulls,105.5,92.91,2011
Chicago Bulls,104.5,91.79,2012
Chicago Bulls,100.4,91.97,2013
Chicago Bulls,99.7,92.72,2014
Chicago Bulls,104.7,95.35,2015
Chicago Bulls,102.1,98.25,2016
Chicago Bulls,104.6,97.72,2017
Chicago Bulls,101.8,99.97,2018
Cleveland Cavaliers,98.4,93.55,2004
Cleveland Cavaliers,103.2,92.62,2005
Cleveland Cavaliers,105.2,92.16,2006
Cleveland Cavaliers,102.6,93.2,2007
Cleveland Cavaliers,103.2,92.52,2008
Cleveland Cavaliers,109.7,91.22,2009
Cleveland Cavaliers,108.8,93.54,2010
Cleveland Cavaliers,99.5,95.52,2011
Cleveland Cavaliers,98.1,93.96,2012
Cleveland Cavaliers,100.8,94.95,2013
Cleveland Cavaliers,101.3,95.68,2014
Cleveland Cavaliers,107.7,94.78,2015
Cleveland Cavaliers,108.1,95.48,2016
Cleveland Cavaliers,110.9,98.38,2017
Cleveland Cavaliers,110.1,99.76,2018
Dallas Mavericks,109.6,95.68,2004
Dallas Mavericks,107.5,95.33,2005
Dallas Mavericks,108.7,90.33,2006
Dallas Mavericks,108.5,91.9,2007
Dallas Mavericks,108.6,92.47,2008
Dallas Mavericks,108.1,93.85,2009
Dallas Mavericks,107.1,94.76,2010
Dallas Mavericks,107.6,93.4,2011
Dallas Mavericks,101,93.64,2012
Dallas Mavericks,103.6,96.25,2013
Dallas Mavericks,109,95.74,2014
Dallas Mavericks,107.2,97.43,2015
Dallas Mavericks,104.8,96.4,2016
Dallas Mavericks,103.7,94.16,2017
Dallas Mavericks,104.5,97.15,2018
Denver Nuggets,100.8,96.1,2004
Denver Nuggets,103.4,96.13,2005
Denver Nuggets,102.8,96.6,2006
Denver Nuggets,104.9,100.19,2007
Denver Nuggets,107.6,102.32,2008
Denver Nuggets,107.5,97,2009
Denver Nuggets,108.7,97.34,2010
Denver Nuggets,109.5,97.94,2011
Denver Nuggets,106.5,96.65,2012
Denver Nuggets,107.6,97.76,2013
Denver Nuggets,103.3,100.68,2014
Denver Nuggets,101.6,98.67,2015
Denver Nuggets,102.7,98.16,2016
Denver Nuggets,110,100.7,2017
Denver Nuggets,108.2,98.88,2018
Detroit Pistons,99.1,90.53,2004
Detroit Pistons,102.8,89.83,2005
Detroit Pistons,107.7,89.28,2006
Detroit Pistons,106.2,89.72,2007
Detroit Pistons,108,89.9,2008
Detroit Pistons,104.5,89.08,2009
Detroit Pistons,102.4,90.97,2010
Detroit Pistons,104.6,91.52,2011
Detroit Pistons,97.8,91.73,2012
Detroit Pistons,100.9,93.21,2013
Detroit Pistons,102.9,97.39,2014
Detroit Pistons,102.3,95.18,2015
Detroit Pistons,103.3,97.39,2016
Detroit Pistons,103.3,97.09,2017
Detroit Pistons,104.6,98.53,2018
Golden State Warriors,100.5,92.06,2004
Golden State Warriors,101.9,95.85,2005
Golden State Warriors,101.9,95.82,2006
Golden State Warriors,104.7,101.64,2007
Golden State Warriors,109.1,101.42,2008
Golden State Warriors,106.6,100.95,2009
Golden State Warriors,105.4,102.72,2010
Golden State Warriors,105.5,97.38,2011
Golden State Warriors,103.1,94.71,2012
Golden State Warriors,104.2,96.81,2013
Golden State Warriors,105.3,98.53,2014
Golden State Warriors,109.7,100.69,2015
Golden State Warriors,112.5,101.65,2016
Golden State Warriors,113.2,102.24,2017
Golden State Warriors,113.7,102.54,2018
Houston Rockets,98.1,90.28,2004
Houston Rockets,103.2,91.28,2005
Houston Rockets,98.9,90.39,2006
Houston Rockets,104,93.04,2007
Houston Rockets,103.9,92.88,2008
Houston Rockets,105.4,92.67,2009
Houston Rockets,104.5,96.55,2010
Houston Rockets,108,96.87,2011
Houston Rockets,102.7,94.32,2012
Houston Rockets,106.7,98.64,2013
Houston Rockets,108.6,98.81,2014
Houston Rockets,104.2,99.25,2015
Houston Rockets,105.5,100.08,2016
Houston Rockets,111.8,102.54,2017
Houston Rockets,113.2,100.39,2018
Indiana Pacers,100.9,89.86,2004
Indiana Pacers,102.4,89.63,2005
Indiana Pacers,101.6,92.05,2006
Indiana Pacers,100,94.93,2007
Indiana Pacers,103.7,100.13,2008
Indiana Pacers,105.4,98.94,2009
Indiana Pacers,101.3,99.41,2010
Indiana Pacers,101.9,97.24,2011
Indiana Pacers,103.5,93.35,2012
Indiana Pacers,101.6,92.84,2013
Indiana Pacers,101.5,94.9,2014
Indiana Pacers,100.8,95.5,2015
Indiana Pacers,102.4,98.99,2016
Indiana Pacers,106.2,98.15,2017
Indiana Pacers,108.4,98.46,2018
Los Angeles Clippers,99.8,93.8,2004
Los Angeles Clippers,102.2,91.85,2005
Los Angeles Clippers,102.9,94.11,2006
Los Angeles Clippers,102.4,93.2,2007
Los Angeles Clippers,98.8,94.35,2008
Los Angeles Clippers,99.5,94.57,2009
Los Angeles Clippers,100.9,94.96,2010
Los Angeles Clippers,101.8,95.47,2011
Los Angeles Clippers,105.2,91.79,2012
Los Angeles Clippers,107.7,93.56,2013
Los Angeles Clippers,109.4,98.39,2014
Los Angeles Clippers,109.8,96.96,2015
Los Angeles Clippers,106.5,97.97,2016
Los Angeles Clippers,110.3,98.22,2017
Los Angeles Clippers,107.1,100.7,2018
Los Angeles Lakers,102.7,94.76,2004
Los Angeles Lakers,104.9,93.65,2005
Los Angeles Lakers,105.4,93.57,2006
Los Angeles Lakers,105.6,95.99,2007
Los Angeles Lakers,110.3,98.01,2008
Los Angeles Lakers,109.8,96.93,2009
Los Angeles Lakers,105.9,95.24,2010
Los Angeles Lakers,107.9,93.37,2011
Los Angeles Lakers,103.3,92.93,2012
Los Angeles Lakers,105.6,96.78,2013
Los Angeles Lakers,101.9,100.98,2014
Los Angeles Lakers,100.8,96.33,2015
Los Angeles Lakers,98.6,97.99,2016
Los Angeles Lakers,103.4,100.8,2017
Los Angeles Lakers,102.8,103.05,2018
Memphis Grizzlies,101.9,93.99,2004
Memphis Grizzlies,102.5,91.08,2005
Memphis Grizzlies,103,88.55,2006
Memphis Grizzlies,104.3,95.88,2007
Memphis Grizzlies,102.4,97.49,2008
