Season,Tm,Team,ORtg,eFG,
1976-77,ATL,Atlanta Hawks,97.8,45.7,
1977-78,ATL,Atlanta Hawks,99.7,46,
1978-79,ATL,Atlanta Hawks,105.6,47.3,
1979-80,ATL,Atlanta Hawks,105.2,46.5,
1980-81,ATL,Atlanta Hawks,104.3,48,
1981-82,ATL,Atlanta Hawks,105.1,47.6,
1982-83,ATL,Atlanta Hawks,102.2,47.2,
1983-84,ATL,Atlanta Hawks,105.5,47.6,
1984-85,ATL,Atlanta Hawks,105.9,48.9,
1985-86,ATL,Atlanta Hawks,107.9,49.3,
1986-87,ATL,Atlanta Hawks,112.6,49,
1987-88,ATL,Atlanta Hawks,111.3,49.1,
1988-89,ATL,Atlanta Hawks,112.2,48,
1989-90,ATL,Atlanta Hawks,113,49.6,
1990-91,ATL,Atlanta Hawks,110.9,48.2,
1991-92,ATL,Atlanta Hawks,107.3,48.1,
1992-93,ATL,Atlanta Hawks,109.3,49.3,
1993-94,ATL,Atlanta Hawks,107.2,48,
1994-95,ATL,Atlanta Hawks,106.6,48.7,
1995-96,ATL,Atlanta Hawks,109.4,49,
1996-97,ATL,Atlanta Hawks,108.5,49.8,
1997-98,ATL,Atlanta Hawks,108.2,48.1,
1998-99,ATL,Atlanta Hawks,100.5,43.6,
1999-00,ATL,Atlanta Hawks,102,46,
2000-01,ATL,Atlanta Hawks,98.7,45.6,
2001-02,ATL,Atlanta Hawks,101.8,47.1,
2002-03,ATL,Atlanta Hawks,102.3,47.6,
2003-04,ATL,Atlanta Hawks,101,46.5,
2004-05,ATL,Atlanta Hawks,100.6,46.4,
2005-06,ATL,Atlanta Hawks,106.4,48.6,
2006-07,ATL,Atlanta Hawks,103,47.1,
2007-08,ATL,Atlanta Hawks,106.9,48.3,
2008-09,ATL,Atlanta Hawks,109.3,50.4,
2009-10,ATL,Atlanta Hawks,111.9,50.6,
2010-11,ATL,Atlanta Hawks,106.1,50.1,
2011-12,ATL,Atlanta Hawks,104.9,50,
2012-13,ATL,Atlanta Hawks,104.8,51.7,
2013-14,ATL,Atlanta Hawks,105.9,51.5,
2014-15,ATL,Atlanta Hawks,108.9,52.7,
2015-16,ATL,Atlanta Hawks,105.1,51.6,
2016-17,ATL,Atlanta Hawks,104.9,50.4,
2017-18,ATL,Atlanta Hawks,106.5,51.4,
1976-77,BOS,Boston Celtics,96.5,44.5,
1977-78,BOS,Boston Celtics,99.1,45.8,
1978-79,BOS,Boston Celtics,101.6,48,
1979-80,BOS,Boston Celtics,109.4,50.1,
1980-81,BOS,Boston Celtics,108.4,50.9,
1981-82,BOS,Boston Celtics,109.8,50.2,
1982-83,BOS,Boston Celtics,106.9,49.4,
1983-84,BOS,Boston Celtics,110.9,50.4,
1984-85,BOS,Boston Celtics,112.8,51.5,
1985-86,BOS,Boston Celtics,111.8,51.8,
1986-87,BOS,Boston Celtics,113.5,53.2,
1987-88,BOS,Boston Celtics,115.4,54.1,
1988-89,BOS,Boston Celtics,110.8,49.8,
1989-90,BOS,Boston Celtics,112,50.6,
1990-91,BOS,Boston Celtics,112.6,52,
1991-92,BOS,Boston Celtics,110.8,50,
1992-93,BOS,Boston Celtics,108.7,49.5,
1993-94,BOS,Boston Celtics,104.2,48.2,
1994-95,BOS,Boston Celtics,108.6,49.1,
1995-96,BOS,Boston Celtics,106.4,49.4,
1996-97,BOS,Boston Celtics,103.9,47.4,
1997-98,BOS,Boston Celtics,102.6,46.4,
1998-99,BOS,Boston Celtics,100.4,46.9,
1999-00,BOS,Boston Celtics,104.8,47.4,
2000-01,BOS,Boston Celtics,101.4,47.3,
2001-02,BOS,Boston Celtics,103.4,47.6,
2002-03,BOS,Boston Celtics,101.2,47,
2003-04,BOS,Boston Celtics,102.1,48.6,
2004-05,BOS,Boston Celtics,107.5,50.1,
2005-06,BOS,Boston Celtics,105.2,50.4,
2006-07,BOS,Boston Celtics,103.2,47.9,
2007-08,BOS,Boston Celtics,110.2,52.2,
2008-09,BOS,Boston Celtics,110.5,52.8,
2009-10,BOS,Boston Celtics,107.7,52.2,
2010-11,BOS,Boston Celtics,106.2,51.9,
2011-12,BOS,Boston Celtics,101,49.6,
2012-13,BOS,Boston Celtics,103.1,50.3,
2013-14,BOS,Boston Celtics,102.9,47.7,
2014-15,BOS,Boston Celtics,104.7,48.9,
2015-16,BOS,Boston Celtics,106.8,48.8,
2016-17,BOS,Boston Celtics,111.2,52.5,
2017-18,BOS,Boston Celtics,106.8,51.4,
2012-13,BRK,Brooklyn Nets,108.2,49.8,
2013-14,BRK,Brooklyn Nets,106.7,51.4,
2014-15,BRK,Brooklyn Nets,104.4,49.1,
2015-16,BRK,Brooklyn Nets,103.2,49.2,
