name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Alabama,11,24,11,22,26,11,11,26,14,15,14,23,16,54,55,35,30,22,22,26,29,14,28,49,46,48,20,7,20,25,19,10,28,8,19,34,37,30,57,23,52,63,44,45,2,1,74,50,109,91,46,217,67,28,67,35
Arkansas,29,40,6,2,29,24,5,20,23,2,21,6,14,54,14,23,33,20,57,47,26,12,102,17,31,12,3,2,21,19,21,15,6,15,16,24,33,47,39,140,42,52,39,89,65,86,35,22,110,59,47,104,23,41,25,21
Arizona,2,3,3,1,2,0,5,5,5,4,3,7,17,2,10,1,5,2,2,3,2,3,1,5,4,3,2,3,1,1,3,2,13,7,5,4,9,5,2,5,0,4,0,9,58,69,6,0,3,4,12,3,1,1,3,5
California,1,1,4,0,4,5,5,5,0,1,2,2,4,1,3,3,6,3,14,4,9,3,14,10,2,3,8,4,6,4,5,16,20,12,9,5,22,17,25,3,9,7,3,0,10,30,9,6,7,2,9,9,12,5,9,10
Colorado,14,13,25,3,2,32,11,21,6,10,5,16,11,11,12,20,42,32,18,37,26,26,58,32,41,26,21,40,48,22,57,76,82,6,35,44,98,47,38,41,60,46,25,30,84,34,21,57,39,46,71,21,34,27,50,57
Connecticut,0,1,3,1,0,1,1,0,3,0,1,2,3,8,2,2,1,0,0,1,0,0,1,1,1,2,0,0,0,4,1,0,4,0,1,3,2,0,4,0,1,4,5,0,0,0,1,2,0,3,6,1,0,4,1,0
Washington D.C.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delaware,0,1,2,0,1,0,0,4,0,0,0,0,0,1,0,5,2,3,0,2,0,0,0,1,3,0,0,0,3,3,1,1,6,5,4,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,1,1,1,1
Florida,31,24,18,28,37,12,30,23,61,58,48,59,77,50,58,104,67,35,94,90,60,61,71,93,31,36,53,45,47,72,57,56,60,53,48,87,70,116,115,61,78,73,44,45,107,56,42,52,55,38,21,39,48,38,30,30
Georgia,7,48,12,22,19,14,21,25,24,17,20,50,44,36,44,25,21,17,19,20,43,8,16,29,38,12,10,3,4,45,18,18,25,16,32,21,18,24,45,13,33,14,29,32,46,59,25,56,85,68,13,67,17,25,43,25
